Type,ID,ParentID,Date,Content,Likes,Comments
COMMENT,"UgyzxYGNEF6N5N_oUS54AaABAg","_c8Cn7NviZw","2025-10-06 05:25:58","trời ơi. mẹ thiên nhiên ơi cầu xịn mẹ tan biến cho 100 bình an.nam mô a di đà phật",0,0
COMMENT,"Ugz54_7e50bbjfIOoLV4AaABAg","_c8Cn7NviZw","2025-10-06 08:05:10","ngon thí",3,0
COMMENT,"Ugy7DOXo3tncA7SkQgp4AaABAg","_c8Cn7NviZw","2025-10-04 06:56:42","mặt mo rủ thêm mặt mốc .ôi toi to !",2,0
COMMENT,"Ugyw7169IRqU_LeAX-d4AaABAg","_c8Cn7NviZw","2025-10-05 18:49:36","cầu mong mẹ thiên nhiên tre chở cho người dân việt nam được bình an",0,0
COMMENT,"UgwRXsRsmGpLDucZp8l4AaABAg","_c8Cn7NviZw","2025-10-04 12:10:45","mặt mo rủ mặt mốc, mặt mộc, mặt mèo nữa? nguy to dzồi. ối dzồi ôi! con người khía với khứa thân mẹ thiên nhiên. bi h mẹ thiên nhiên tổn thương nhìu tự lật thức giấc bỏ chạy khỏi con người con người vướng tai ương 2025 này! thiên tai, động đất. khổ nhân gian ơi!",0,0
COMMENT,"UgzpdWSoZDhjkX_2XeN4AaABAg","_c8Cn7NviZw","2025-10-05 18:40:40","úng mặt mo",1,0
COMMENT,"UgyzPtw13KPHkq-GQV14AaABAg","_c8Cn7NviZw","2025-10-04 05:39:11","bac ho oi mau mau len tran gian giup con chau di.",0,0
COMMENT,"Ugxgd_UPhdsdpQNbtfF4AaABAg","_c8Cn7NviZw","2025-10-04 09:31:35","mong mọi người không sao",0,0
COMMENT,"Ugy3Nz9l58WPBUUC27N4AaABAg","_c8Cn7NviZw","2025-10-06 12:04:36","adiđàphật",0,0
COMMENT,"UgzA-FAmFLzgmzh0ZtV4AaABAg","_c8Cn7NviZw","2025-10-04 01:05:47","giỏi vào được hà nội",0,0
POST,"6WlF489wL74","","2025-10-03 18:06:11","dự báo thời tiết 18h - 03/10/2025 bão matmo vào biển đông vtvwdb dự báo thời tiết 18h - 03/10/2025 bão matmo vào biển đông vtvwdb dự báo thời tiết vtv kênh youtube chính .",524,23
COMMENT,"UgytCFyW1SuW-14Gsxt4AaABAg","6WlF489wL74","2025-10-03 18:45:22","ôi chán mưa lắm thương con quá, đang mùa màng mãi được hạt thóc trời ơi thương trời",12,0
COMMENT,"Ugw2Oo6fTaaSvgjWhZd4AaABAg","6WlF489wL74","2025-10-03 19:13:54","làm cty hôm gọi nhà không liên lạc đk lo lắng cho gđ",6,0
COMMENT,"UgxyLS7Yxy6HnOUkQHt4AaABAg","6WlF489wL74","2025-10-03 21:01:17","cam on xuan ah nhiu xinh qua",0,0
COMMENT,"UgwDJ9Fg_nVHluF9LLJ4AaABAg","6WlF489wL74","2025-10-03 21:00:05","mong viê t nam bi nh an",0,0
COMMENT,"UgyKbrGPJRHtsvYOwmx4AaABAg","6WlF489wL74","2025-10-03 21:07:40","xuan ah xinh qua tyet voi",2,0
COMMENT,"UgwRMEAafswLZQszK3d4AaABAg","6WlF489wL74","2025-10-04 01:32:23","biên tập viên xuân người xinh đẹp",2,0
COMMENT,"UgyyKyNIr-0NUrleodR4AaABAg","6WlF489wL74","2025-10-03 19:19:42","",0,0
COMMENT,"UgzYroyvwcGrZJtlYpR4AaABAg","6WlF489wL74","2025-10-04 06:31:30","cực đại ở biển vào đất liền nhiêu",0,0
COMMENT,"Ugxscqz4kTzb_5lqG6x4AaABAg","6WlF489wL74","2025-10-03 18:54:23","ảnh hưởng chỗ ngân ngày vô so tan hết con nhà nước ra thông báo nghỉ ở nhà cam ra đường",0,0
COMMENT,"UgxBXYpA8IDBHv_OQRJ4AaABAg","6WlF489wL74","2025-10-03 19:12:08","mong nó tan nhanh",0,0
COMMENT,"UgyB9PU-o3bQqbPKPNh4AaABAg","6WlF489wL74","2025-10-03 18:29:46","lol",1,0
COMMENT,"Ugw_rBmp9YhLRL9J6Lx4AaABAg","6WlF489wL74","2025-10-03 18:08:58","bão mặt-mo mật-mỡ nhỉ?! ))",3,0
POST,"Ps0jZ6t_GnI","","2025-10-02 19:58:23","cảnh báo bão matmo mạnh lên thành bão nhiệt đới cảnh báo bão matmo mạnh lên thành bão nhiệt đới. #vtv24 #chuyendong24h chuyển động 24h do vtv digital sản xuất, phát .",17,0
POST,"OzbaSGvhWx4","","2025-09-24 10:45:13","liên hoàn bão biển đông ragasa, bualoi, matmo #ragasa, #bualoi, #matmo, #baoso11 #tintuc, #news",8,1
COMMENT,"UgzZsMNXxZAfQDi4fdR4AaABAg","OzbaSGvhWx4","2025-09-28 12:19:46","yagi",0,0
POST,"cb9emALak8o","","2025-10-02 10:56:14","bão matmo, tối mai vào biển đông #tintuc #shortvideo",77,0
POST,"XeX7MJ1KFO4","","2025-10-06 07:20:18","bão số 11 cơn bão matmo đang tiến việt nam #shots",275,1
COMMENT,"UgzukrLO-uTH7_hX13J4AaABAg","XeX7MJ1KFO4","2025-10-06 15:21:35","mô phật",0,0
